Date,Emp_ID,Age,Gender,City,Education,Salary,Join_Date,Last_Work_Date,Join_Designation,Designation,Total_Sales_Acquired,Quarterly_Rating
1/3/2016,1,28,Male,C23,Master,57387,24/12/2015,11/3/2016,1.0,1,1715580,2
1/12/2017,2,31,Male,C7,Master,67016,6/11/2017,,,2,0,1
1/4/2017,4,43,Male,C13,Master,65603,7/12/2016,27/4/2017,2.0,2,350000,1
1/3/2016,5,29,Male,C9,College,46368,9/1/2016,7/3/2016,1.0,1,120360,1
1/12/2017,6,31,Female,C11,Bachelor,80874,31/7/2017,,3.0,3,1265000,2
1/11/2017,8,34,Male,C2,College,70656,19/9/2017,15/11/2017,3.0,3,0,1
1/12/2017,11,28,Female,C19,Master,42172,7/12/2017,,1.0,1,0,1
1/12/2016,12,35,Male,C23,Master,28116,29/6/2016,21/12/2016,1.0,1,2607180,1
1/11/2017,13,31,Male,C19,Master,119227,28/5/2012,25/11/2017,1.0,4,10213040,1
1/12/2017,14,39,Female,C26,College,19734,16/10/2017,,3.0,3,0,1
1/2/2016,16,30,Female,C23,College,52963,30/11/2015,22/2/2016,2.0,2,346800,1
1/7/2016,17,43,Male,C20,Master,51099,6/3/2015,20/7/2016,1.0,1,1017640,1
1/5/2016,18,27,Female,C17,Bachelor,31631,9/1/2016,30/4/2016,1.0,1,0,1
1/3/2017,20,26,Female,C19,College,40342,25/10/2016,1/3/2017,3.0,3,0,1
1/2/2017,21,34,Female,C29,Bachelor,22755,12/5/2015,17/2/2017,,1,6962550,1
1/4/2017,22,41,Male,C10,Master,31224,25/5/2015,26/4/2017,1.0,1,7539490,1
1/10/2016,24,31,Male,C24,Master,76308,25/5/2015,27/10/2016,1.0,2,4101720,2
1/12/2017,25,31,Male,C24,Bachelor,102077,30/10/2014,,1.0,3,36351110,4
1/12/2017,26,43,Male,C14,Master,132577,7/5/2015,,1.0,4,69867900,2
1/5/2016,29,30,Male,C13,Master,30312,20/5/2015,23/5/2016,1.0,1,1273170,1
1/12/2016,30,31,Male,C6,Bachelor,69457,3/10/2016,29/11/2016,3.0,3,0,1
